,AAPL_return,MSFT_return,CORESTICKM159SFRBATL
2014-05-31,-0.05511864323306803,-0.04267739741396315,2.127518
2014-06-30,-0.03976700459437843,-0.025295867436318287,2.142724
2014-07-31,-0.0258459215523682,-0.022273481005178675,2.098319
2014-08-31,-0.07167852837138255,-0.050141866396788304,1.959017
2014-09-30,0.043785533648240005,-0.016767492869917966,1.95017
2014-10-31,-0.09620250871750613,-0.030033187598913935,2.001463
2014-11-30,-0.04925022173503357,-0.02371965334491455,1.999147
2014-12-31,0.05361905251828836,0.0411083753988678,1.961226
2015-01-31,-0.07637249186831252,0.13274451868258297,1.976365
2015-02-28,-0.0827209922772284,-0.06050827319991148,1.972517
2015-03-31,0.04022515610087296,0.0765274004207731,1.989606
2015-04-30,-0.03530783534480131,-0.17165623975882127,2.05371
2015-05-31,-0.010592341865497956,0.03137548670995405,2.056561
2015-06-30,0.031104370174657503,0.06181132127947364,2.103732
2015-07-31,0.0695067900773556,-0.05017963929242775,2.130475
2015-08-31,0.10341909057717391,0.11907371421738244,2.169207
2015-09-30,-0.013943655873655758,-0.06217872555354753,2.268536
2015-10-31,-0.0976546568172939,-0.17082667971017185,2.335492
2015-11-30,0.03420560019562502,-0.035450555267865336,2.394625
2015-12-31,0.11058391845646975,0.00986116935567849,2.437497
2016-01-31,0.09561478458338635,0.006626073305141755,2.460879
2016-02-29,-0.038690249802961874,0.04305175716379617,2.538253
2016-03-31,-0.08900908894082304,-0.05359937872718601,2.526214
2016-04-30,0.16488324468327908,0.09739012834764382,2.53143
2016-05-31,-0.04849694382559222,-0.04161487817254583,2.565678
2016-06-30,0.02812602191525626,0.035352354178929346,2.563629
2016-07-31,-0.09800181676655084,-0.09877594072499296,2.569655
2016-08-31,-0.005808893164708673,-0.01742152943614461,2.716347
2016-09-30,-0.05010899279834047,0.003954737699827904,2.624799
2016-10-31,0.010095500850689998,-0.039219994566891514,2.502268
2016-11-30,0.019792390184898978,0.011724998603310666,2.518564
2016-12-31,-0.05865955781236498,-0.05451888409288086,2.585286
2017-01-31,-0.10095425187357354,-0.015107330917722539,2.651739
2017-02-28,-0.08176801808569445,-0.020825889816159626,2.664566
2017-03-31,-0.027114949502690222,-0.008965770327297284,2.436586
2017-04-30,-0.019324609329161357,-0.05674344912625573,2.235672
2017-05-31,-0.042602012188415195,-0.009063695272129135,2.139634
2017-06-30,0.06753968288012058,0.02943889157689572,2.122109
2017-07-31,-0.0437704969331465,-0.06197801405853376,2.131777
2017-08-31,-0.08652806702542881,-0.01765218670492108,2.075047
2017-09-30,0.06557669115708531,-0.008517737589604613,2.091354
2017-10-31,-0.07991713262155742,-0.1064897210527066,2.177581
2017-11-30,-0.02327062688115067,-0.012228654855823584,2.099803
2017-12-31,-0.0062124279271336125,-0.018280272888268057,2.117186
2018-01-31,0.027229790838041,-0.09095474991419017,2.157823
2018-02-28,-0.03710996872642047,0.020319984256471413,2.123101
2018-03-31,0.051384299028634284,0.05389261118927213,2.366925
2018-04-30,-0.011630842531264673,-0.067898132927518,2.491592
2018-05-31,-0.11549586658916955,-0.05827630719482557,2.543212
2018-06-30,0.01677954812088933,0.00874959584599444,2.551897
2018-07-31,-0.07120197506888537,-0.05901229504501204,2.518753
2018-08-31,-0.12383142945077019,-0.04905639250179161,2.432443
2018-09-30,0.006602868631766734,-0.03316429659967246,2.462881
2018-10-31,0.027281136956323837,0.09518283813056427,2.415236
2018-11-30,0.19380876418767012,-0.05242728364543536,2.476418
2018-12-31,0.16423684661072624,0.10976565556946982,2.456173
2019-01-31,-0.04258299689416434,-0.0122789992276775,2.375054
2019-02-28,-0.04841863782511313,-0.08942311602675779,2.375943
2019-03-31,-0.08688150348256884,-0.054786288020903684,2.356946
2019-04-30,-0.09404918320861333,-0.07068998049396547,2.392773
2019-05-31,0.19862192900727849,0.06732876118526543,2.360903
2019-06-30,-0.14867835236902482,-0.12213309489225155,2.392597
2019-07-31,-0.032117437171351404,-0.016427236340263107,2.475923
2019-08-31,0.018841141029592112,0.018180658696287044,2.630398
2019-09-30,-0.08608397974974591,-0.006386848629425401,2.622934
2019-10-31,-0.12761671456861812,-0.045661681184554714,2.747596
2019-11-30,-0.03133484073464643,-0.03937059431393686,2.772021
2019-12-31,-0.12691905892647715,-0.0708590887977123,2.752609
2020-01-31,-0.02428138652682399,-0.08024343735301664,2.790484
2020-02-29,0.042307243212583834,0.0174812776551998,2.800101
2020-03-31,0.25789418669112574,0.17721840510625597,2.606553
2020-04-30,-0.17410851203831756,-0.12961972407160782,2.179323
2020-05-31,-0.10590079714548095,-0.04492988750364224,2.01414
2020-06-30,-0.11888360505355733,-0.10861497991760982,1.993544
2020-07-31,-0.1715555905550291,-0.05116705443968972,2.281283
2020-08-31,-0.20313265487162857,-0.04591240337960767,2.213149
2020-09-30,0.15070029221134462,0.07455155416482329,1.980283
2020-10-31,0.07927155343983061,0.05291960339152346,1.747303
2020-11-30,-0.11705860149576852,-0.06279698975656478,1.697582
2020-12-31,-0.049710282770467296,-0.005520976642983344,1.600671
2021-01-31,-0.03080426693164151,-0.0927941516048848,1.400569
2021-02-28,0.051703648477586794,0.012605755059616919,1.405123
2021-03-31,0.042743010515730484,-0.019409307223823058,1.592366
2021-04-30,-0.07274201667501601,-0.03696575334962682,2.209393
2021-05-31,0.06675445203058461,0.01975587386966504,2.562825
2021-06-30,-0.0982442662454116,-0.09241829480495267,2.558145
2021-07-31,-0.05631577382553743,-0.046670613054622834,2.323597
2021-08-31,-0.04547735038802969,-0.057021215632051314,2.332419
