DATE,CORESTICKM159SFRBATL
1968-03-31,3.8226148153333335
1968-06-30,4.263214293
1968-09-30,4.8826433043333335
1968-12-31,5.4294427113333334
1969-03-31,5.8737702936666665
1969-06-30,6.554073466666666
1969-09-30,6.546257806
1969-12-31,6.466553559666667
1970-03-31,6.879757354666666
1970-06-30,6.972515896
1970-09-30,7.068003664666667
1970-12-31,7.242646539
1971-03-31,6.282023820333333
1971-06-30,5.201909910666667
1971-09-30,4.917016772
1971-12-31,4.002329600333334
1972-03-31,3.8758998963333333
1972-06-30,3.7746188003333336
1972-09-30,3.3193987123333333
1972-12-31,3.249164664333333
1973-03-31,2.8844398506666664
1973-06-30,3.1019566533333336
1973-09-30,3.4268802746666664
1973-12-31,5.0003640423333335
1974-03-31,6.317825925
1974-06-30,7.816468700666667
1974-09-30,10.074438653
1974-12-31,11.014412715
1975-03-31,11.660767459
1975-06-30,11.019418273333335
1975-09-30,9.069480840666666
1975-12-31,7.962578806333333
1976-03-31,7.466507443333334
1976-06-30,6.894788109333334
1976-09-30,7.177767948333333
1976-12-31,6.562426871666666
1977-03-31,6.068036901
1977-06-30,6.747304837666667
1977-09-30,6.862437454999999
1977-12-31,7.104545441666667
1978-03-31,7.382208791666667
1978-06-30,7.578820996666667
1978-09-30,8.221860431666668
1978-12-31,9.102000972333334
1979-03-31,9.439005945
1979-06-30,10.090167772666666
1979-09-30,10.807942590000001
1979-12-31,11.972686396333335
1980-03-31,13.800298616333334
1980-06-30,15.214881517333334
1980-09-30,13.496507473333333
1980-12-31,12.880014186666665
1981-03-31,11.188904411666668
1981-06-30,9.508641635333333
1981-09-30,11.761978706666667
1981-12-31,10.548692975333333
1982-03-31,9.300033988000001
1982-06-30,9.004101839666667
1982-09-30,7.066016678666667
1982-12-31,5.177362209
1983-03-31,4.455718182333333
1983-06-30,3.3518182646666665
1983-09-30,2.4508275286666668
1983-12-31,3.596557226
1984-03-31,4.539689325
1984-06-30,4.699730280333333
1984-09-30,5.007283728
1984-12-31,5.024163238333333
1985-03-31,4.841625796
1985-06-30,4.936544191333333
1985-09-30,4.8793875
1985-12-31,5.009053080666667
1986-03-31,5.200894832333333
1986-06-30,5.134736750666667
1986-09-30,4.910461112
1986-12-31,4.703908635666667
1987-03-31,4.406619880666667
1987-06-30,4.3295668376666665
1987-09-30,4.259249547666666
1987-12-31,4.326115747
1988-03-31,4.396599764666667
1988-06-30,4.493915003000001
1988-09-30,4.698775439666666
1988-12-31,4.7136083730000005
1989-03-31,4.76071654
1989-06-30,4.702114735333333
1989-09-30,4.805949207666667
1989-12-31,4.809836198
1990-03-31,5.004997429666667
1990-06-30,5.271471825666667
1990-09-30,5.761079016666667
1990-12-31,5.710902147333333
1991-03-31,5.717311262666667
1991-06-30,5.144420091333333
1991-09-30,4.516699897666666
1991-12-31,4.328545741
1992-03-31,3.9633060206666664
1992-06-30,3.9510126203333336
1992-09-30,3.5822418353333334
1992-12-31,3.5812156336666665
1993-03-31,3.4749123466666667
1993-06-30,3.5021004883333333
1993-09-30,3.524603721
1993-12-31,3.469830095666667
1994-03-31,3.453943741
1994-06-30,3.2582229763333337
1994-09-30,3.2649586256666665
1994-12-31,3.064664348333334
1995-03-31,3.145260705666667
1995-06-30,3.3314208826666665
1995-09-30,3.325595862
1995-12-31,3.4079687323333334
1996-03-31,3.2238374333333333
1996-06-30,3.0347783209999997
1996-09-30,3.0779950176666673
1996-12-31,2.9935180663333334
1997-03-31,2.856496043
1997-06-30,2.8698563709999996
1997-09-30,2.6502380986666663
1997-12-31,2.5963390453333335
1998-03-31,2.679011616
1998-06-30,2.617344784
1998-09-30,2.6105120223333333
1998-12-31,2.4988203466666667
1999-03-31,2.3122856666666665
1999-06-30,2.150058
1999-09-30,2.092243
1999-12-31,2.121763
2000-03-31,2.3993420000000003
2000-06-30,2.556459333333333
2000-09-30,2.8282900000000004
2000-12-31,2.9207249999999996
2001-03-31,2.940032
2001-06-30,3.1219136666666665
2001-09-30,3.2827566666666663
2001-12-31,3.5503286666666667
2002-03-31,3.5177929999999997
2002-06-30,3.3865486666666667
2002-09-30,3.1456356666666667
2002-12-31,2.851226666666667
2003-03-31,2.697638
2003-06-30,2.350286
2003-09-30,2.185938333333333
2003-12-31,2.0481346666666664
2004-03-31,2.0378456666666667
2004-06-30,2.2824293333333334
2004-09-30,2.2455293333333333
2004-12-31,2.2757726666666667
2005-03-31,2.275545333333333
2005-06-30,2.257718666666667
2005-09-30,2.291963
2005-12-31,2.4020569999999997
2006-03-31,2.5043676666666665
2006-06-30,2.82766
2006-09-30,3.1720473333333334
2006-12-31,3.18104
2007-03-31,3.129683333333334
2007-06-30,2.784459333333333
2007-09-30,2.486496333333333
2007-12-31,2.6188326666666666
2008-03-31,2.684794
2008-06-30,2.8174930000000002
2008-09-30,3.0542993333333333
2008-12-31,2.771273666666667
2009-03-31,2.5054153333333335
2009-06-30,2.237264
2009-09-30,1.7567016666666666
2009-12-31,1.3965153333333333
2010-03-31,1.0483168
2010-06-30,0.8135759
2010-09-30,0.6996849666666667
2010-12-31,0.7754744666666666
2011-03-31,1.0839320666666667
2011-06-30,1.2534413333333332
2011-09-30,1.5971323333333334
2011-12-31,1.9054520000000001
2012-03-31,2.084076666666667
2012-06-30,2.2063086666666667
2012-09-30,2.216934
2012-12-31,2.1697710000000003
2013-03-31,2.102180333333333
2013-06-30,1.903783
2013-09-30,1.8884146666666666
2013-12-31,1.8766796666666667
2014-03-31,1.8108643333333332
2014-06-30,2.0986553333333333
2014-09-30,2.0025020000000002
