DATE,CORESTICKM159SFRBATL
1968-02-04,
1968-02-11,
1968-02-18,
1968-02-25,
1968-03-03,
1968-03-10,
1968-03-17,
1968-03-24,
1968-03-31,4.142163975
1968-04-07,4.173195157461539
1968-04-14,4.204226339923077
1968-04-21,4.235257522384615
1968-04-28,4.266288704846153
1968-05-05,4.297319887307692
1968-05-12,4.328351069769231
1968-05-19,4.359382252230769
1968-05-26,4.390413434692308
1968-06-02,4.421444617153846
1968-06-09,4.452475799615384
1968-06-16,4.483506982076923
1968-06-23,4.514538164538461
1968-06-30,4.545569347
1968-07-07,4.576211595377049
1968-07-14,4.606853843754098
1968-07-21,4.637496092131148
1968-07-28,4.668138340508197
1968-08-04,4.698780588885246
1968-08-11,4.729422837262295
1968-08-18,4.7600650856393445
1968-08-25,4.7907073340163935
1968-09-01,4.8213495823934425
1968-09-08,4.8519918307704915
1968-09-15,4.882634079147541
1968-09-22,4.91327632752459
1968-09-29,4.943918575901639
1968-10-06,4.974560824278688
1968-10-13,5.005203072655737
1968-10-20,5.035845321032787
1968-10-27,5.066487569409836
1968-11-03,5.097129817786885
1968-11-10,5.127772066163934
1968-11-17,5.158414314540984
1968-11-24,5.189056562918033
1968-12-01,5.219698811295082
1968-12-08,5.250341059672131
1968-12-15,5.28098330804918
1968-12-22,5.31162555642623
1968-12-29,5.342267804803279
1969-01-05,5.372910053180328
1969-01-12,5.403552301557378
1969-01-19,5.434194549934427
1969-01-26,5.464836798311476
1969-02-02,5.495479046688525
1969-02-09,5.526121295065574
1969-02-16,5.556763543442623
1969-02-23,5.5874057918196725
1969-03-02,5.618048040196721
1969-03-09,5.64869028857377
1969-03-16,5.67933253695082
1969-03-23,5.709974785327869
1969-03-30,5.740617033704918
1969-04-06,5.771259282081967
1969-04-13,5.801901530459016
1969-04-20,5.832543778836066
1969-04-27,5.863186027213115
1969-05-04,5.893828275590164
1969-05-11,5.924470523967213
1969-05-18,5.955112772344263
1969-05-25,5.985755020721312
1969-06-01,6.016397269098361
1969-06-08,6.04703951747541
1969-06-15,6.077681765852459
1969-06-22,6.108324014229509
1969-06-29,6.138966262606558
1969-07-06,6.169608510983607
1969-07-13,6.200250759360657
1969-07-20,6.230893007737706
1969-07-27,6.261535256114755
1969-08-03,6.292177504491804
1969-08-10,6.322819752868853
1969-08-17,6.3534620012459015
1969-08-24,6.384104249622951
1969-08-31,6.414746498
1969-09-07,6.4164883470000005
1969-09-14,6.4182301960000006
1969-09-21,6.419972045000001
1969-09-28,6.421713894
1969-10-05,6.423455743
1969-10-12,6.425197592
1969-10-19,6.426939441
1969-10-26,6.42868129
1969-11-02,6.430423139
1969-11-09,6.432164987999999
1969-11-16,6.433906836999999
1969-11-23,6.4356486859999995
1969-11-30,6.437390535
1969-12-07,6.457019157923076
1969-12-14,6.476647780846154
1969-12-21,6.49627640376923
1969-12-28,6.515905026692307
1970-01-04,6.535533649615385
1970-01-11,6.555162272538461
1970-01-18,6.574790895461538
1970-01-25,6.594419518384615
1970-02-01,6.614048141307692
1970-02-08,6.633676764230769
1970-02-15,6.6533053871538455
1970-02-22,6.672934010076923
1970-03-01,6.692562633
1970-03-08,6.712191255923076
1970-03-15,6.731819878846154
1970-03-22,6.7514485017692305
1970-03-29,6.771077124692307
1970-04-05,6.790705747615385
1970-04-12,6.810334370538461
1970-04-19,6.829962993461538
1970-04-26,6.849591616384615
1970-05-03,6.869220239307692
1970-05-10,6.888848862230769
1970-05-17,6.9084774851538455
1970-05-24,6.928106108076923
1970-05-31,6.947734731
1970-06-07,6.9496525390285715
1970-06-14,6.951570347057142
1970-06-21,6.953488155085714
1970-06-28,6.955405963114286
1970-07-05,6.957323771142857
1970-07-12,6.959241579171429
1970-07-19,6.9611593871999995
1970-07-26,6.963077195228571
1970-08-02,6.964995003257143
1970-08-09,6.966912811285714
1970-08-16,6.968830619314286
1970-08-23,6.9707484273428575
1970-08-30,6.972666235371428
1970-09-06,6.9745840434
1970-09-13,6.976501851428571
1970-09-20,6.978419659457143
1970-09-27,6.980337467485715
1970-10-04,6.9822552755142855
1970-10-11,6.984173083542857
1970-10-18,6.986090891571429
1970-10-25,6.9880086996
1970-11-01,6.989926507628572
1970-11-08,6.991844315657143
1970-11-15,6.993762123685714
1970-11-22,6.995679931714286
1970-11-29,6.997597739742857
1970-12-06,6.999515547771429
1970-12-13,7.001433355800001
1970-12-20,7.0033511638285715
1970-12-27,7.005268971857143
1971-01-03,7.007186779885714
1971-01-10,7.009104587914286
1971-01-17,7.011022395942858
1971-01-24,7.012940203971429
1971-01-31,7.014858012
1971-02-07,6.843544753750001
1971-02-14,6.6722314955
1971-02-21,6.50091823725
1971-02-28,6.329604979
1971-03-07,6.273804167971429
1971-03-14,6.218003356942857
1971-03-21,6.162202545914286
1971-03-28,6.106401734885714
1971-04-04,6.050600923857143
1971-04-11,5.994800112828571
1971-04-18,5.9389993018
1971-04-25,5.883198490771429
1971-05-02,5.827397679742857
1971-05-09,5.771596868714286
1971-05-16,5.715796057685714
1971-05-23,5.659995246657143
1971-05-30,5.604194435628571
1971-06-06,5.5483936246
1971-06-13,5.492592813571429
1971-06-20,5.436792002542857
1971-06-27,5.380991191514286
1971-07-04,5.325190380485714
1971-07-11,5.269389569457143
1971-07-18,5.213588758428571
1971-07-25,5.1577879474
1971-08-01,5.101987136371429
1971-08-08,5.046186325342857
1971-08-15,4.990385514314286
1971-08-22,4.934584703285714
1971-08-29,4.878783892257143
1971-09-05,4.822983081228571
1971-09-12,4.7671822702
1971-09-19,4.711381459171429
