,DATE,GDP
0,1947-01-01,-0.9339813930283415
1,1947-04-01,-0.9336064413883214
2,1947-07-01,-0.9331227751679386
3,1947-10-01,-0.9317641772140852
4,1948-01-01,-0.930962256748607
5,1948-04-01,-0.9300496158987005
6,1948-07-01,-0.9291631842219196
7,1948-10-01,-0.9290067315047927
8,1949-01-01,-0.9297197279900238
9,1949-04-01,-0.9302122197482956
10,1949-07-01,-0.9300065579714228
11,1949-10-01,-0.9303090332245347
12,1950-01-01,-0.9289449527395682
13,1950-04-01,-0.9276672555496993
14,1950-07-01,-0.9252910463331662
15,1950-10-01,-0.9237142168969616
16,1951-01-01,-0.9215673379452768
17,1951-04-01,-0.9204855409524939
18,1951-07-01,-0.9195100515751946
19,1951-10-01,-0.9188691303160589
20,1952-01-01,-0.9183821210889
21,1952-04-01,-0.9182203195609313
22,1952-07-01,-0.9173282716327662
23,1952-10-01,-0.9155750651590485
24,1953-01-01,-0.9146165582561723
25,1953-04-01,-0.9141125665545904
26,1953-07-01,-0.9141898568712563
27,1953-10-01,-0.91488533600098
28,1954-01-01,-0.9149689111703853
29,1954-04-01,-0.9148651442400516
30,1954-07-01,-0.9142132579186899
31,1954-10-01,-0.9130448101902675
32,1955-01-01,-0.9112611154947506
33,1955-04-01,-0.9101299757219509
34,1955-07-01,-0.9089680802868099
35,1955-10-01,-0.9080492883044352
36,1956-01-01,-0.9076943947050723
37,1956-04-01,-0.906856770927224
38,1956-07-01,-0.9061639662029215
39,1956-10-01,-0.9049241118497592
40,1957-01-01,-0.9036783738046708
41,1957-04-01,-0.9033780380758957
42,1957-07-01,-0.9023798162525181
43,1957-10-01,-0.9029984062263888
44,1958-01-01,-0.9039777734915484
45,1958-04-01,-0.9033843229286349
46,1958-07-01,-0.9015305588110886
47,1958-10-01,-0.8996967190139286
48,1959-01-01,-0.8982558830933803
49,1959-04-01,-0.8966080481932488
50,1959-07-01,-0.8962896602278823
51,1959-10-01,-0.8958128137413229
52,1960-01-01,-0.8939343113736328
53,1960-04-01,-0.8941439847586369
54,1960-07-01,-0.8935390342524131
55,1960-10-01,-0.8942620597579728
56,1961-01-01,-0.8936173943312476
57,1961-04-01,-0.8922097210379194
58,1961-07-01,-0.8905891650730818
59,1961-10-01,-0.888857755003545
60,1962-01-01,-0.8870657696512232
61,1962-04-01,-0.8862162447692516
62,1962-07-01,-0.8850580935017
63,1962-10-01,-0.884623101459979
64,1963-01-01,-0.883367200674291
65,1963-04-01,-0.8822867408842185
66,1963-07-01,-0.8803221226619729
67,1963-10-01,-0.8790525824086378
68,1964-01-01,-0.8769285696233023
69,1964-04-01,-0.8757448777839805
70,1964-07-01,-0.8739587761235849
71,1964-10-01,-0.8732516633302799
72,1965-01-01,-0.8705142756616447
73,1965-04-01,-0.8688560105803715
74,1965-07-01,-0.8662976743546703
75,1965-10-01,-0.8632844217668619
76,1966-01-01,-0.8600915828550353
77,1966-04-01,-0.8588550715086493
78,1966-07-01,-0.8568951334958904
79,1966-10-01,-0.8550679797122829
80,1967-01-01,-0.853614707806527
81,1967-04-01,-0.8529711121419702
82,1967-07-01,-0.8507981577374311
83,1967-10-01,-0.8486310870248179
84,1968-01-01,-0.8448938728895528
85,1968-04-01,-0.8415566160849937
86,1968-07-01,-0.8393527722978422
87,1968-10-01,-0.8370521150344516
88,1969-01-01,-0.8336680561350255
89,1969-04-01,-0.831570921124171
90,1969-07-01,-0.828771353529498
91,1969-10-01,-0.8276760507893394
92,1970-01-01,-0.8259306000913424
93,1970-04-01,-0.8237676747071319
94,1970-07-01,-0.8212692451628604
95,1970-10-01,-0.8209283921919576
96,1971-01-01,-0.8147039810151889
97,1971-04-01,-0.8118804774919985
98,1971-07-01,-0.809018328810475
99,1971-10-01,-0.8073305115493
100,1972-01-01,-0.8019399799827902
101,1972-04-01,-0.7971581430900935
102,1972-07-01,-0.7939225136915313
103,1972-10-01,-0.7887959459400714
104,1973-01-01,-0.7822990128509058
105,1973-04-01,-0.7774319961455511
106,1973-07-01,-0.7747641430178612
107,1973-10-01,-0.7690875837915785
108,1974-01-01,-0.7670924773475339
109,1974-04-01,-0.7618978459781103
110,1974-07-01,-0.7578902494547848
111,1974-10-01,-0.7525878395468959
112,1975-01-01,-0.7503898794516707
113,1975-04-01,-0.745611118125208
114,1975-07-01,-0.7378597551733358
115,1975-10-01,-0.7309048301558289
116,1976-01-01,-0.7230613339372042
117,1976-04-01,-0.7188030119056625
118,1976-07-01,-0.7142263019087544
119,1976-10-01,-0.707845839175672
120,1977-01-01,-0.7005747994374062
121,1977-04-01,-0.6915806402864085
122,1977-07-01,-0.6832145652485261
123,1977-10-01,-0.677090577995315
124,1978-01-01,-0.6719436847626556
125,1978-04-01,-0.6547107522718139
126,1978-07-01,-0.6462302126819137
127,1978-10-01,-0.6352790573641204
128,1979-01-01,-0.6286383749835776
129,1979-04-01,-0.6199950978238113
130,1979-07-01,-0.609789834177927
131,1979-10-01,-0.6022589759530138
132,1980-01-01,-0.5934389205949214
133,1980-04-01,-0.5924346813593466
134,1980-07-01,-0.5845276680119739
135,1980-10-01,-0.5672678577466513
136,1981-01-01,-0.5487276758860387
137,1981-04-01,-0.5436027127778312
138,1981-07-01,-0.5304878297542011
139,1981-10-01,-0.5277854767965806
140,1982-01-01,-0.528656798082733
141,1982-04-01,-0.5209451500513622
142,1982-07-01,-0.516351858740844
143,1982-10-01,-0.511505969838315
144,1983-01-01,-0.502031621193982
145,1983-04-01,-0.48793282441597646
146,1983-07-01,-0.4731793331909171
147,1983-10-01,-0.4590682341479751
